campaign,publisher,date,installs,d90_arpu,d90_arpu_pred
736523,3174,2023-07-07,19,0.6926513798326956,1.0655106725765204
736523,3174,2023-07-08,19,0.949125130246038,1.15239737132695
736523,3174,2023-07-09,23,0.9801686272172552,0.9506506704961812
736523,3174,2023-07-10,17,0.8605998680625444,0.9505606649050606
736523,3452,2023-06-11,1,0.123504,1.5107164719801822
736523,3559,2023-06-27,1,0.831605,1.8366653840104599
736523,3559,2023-07-01,1,5.434849,1.5377617165756263
736523,3559,2023-07-08,1,4.194491,1.3125809963074797
736523,3559,2023-07-09,1,0.6679729611566605,1.222918602686717
736523,3669,2023-06-08,2,0.1169495,1.0867285393627957
736523,3669,2023-06-09,1,0.267972,1.1766766725569873
736523,3669,2023-06-10,1,0.452443,1.167926171480414
736523,3669,2023-06-15,2,1.4767650946579742,1.2799087830606053
736523,3669,2023-06-22,1,0.133851,1.312260230371978
736523,3669,2023-06-24,1,1.1574,1.9400577382965039
736523,3669,2023-07-03,2,0.7736788095701485,0.9580480960913169
736523,4475,2023-06-08,2,2.086150122,1.3004315888988174
736523,4475,2023-06-09,3,0.483393,1.287530317785954
736523,4475,2023-06-10,5,1.1022975145968985,1.3393919752282866
736523,4475,2023-06-12,1,0.052154,1.362028247058111
736523,4475,2023-06-13,1,0.05122,1.3872915064141444
736523,4475,2023-06-14,1,0.9668019999999998,1.4143564987259527
736523,4475,2023-06-15,5,0.3529304,1.3751467293126
736523,4475,2023-06-16,4,3.3827322500000006,1.4045595555862707
736523,4475,2023-06-17,3,1.044689,1.3355682370671174
736523,4475,2023-06-18,1,0.241127,1.4434182246520892
736523,4475,2023-06-19,5,0.4558228,1.321254365478414
736523,4475,2023-06-20,3,1.2272886666666667,1.2348091893860464
736523,4475,2023-06-22,2,0.2125565,1.2179012992662521
736523,4475,2023-06-23,1,0.984807,1.3736847125871514
736523,4475,2023-06-24,2,3.252867,1.868678886893624
736523,4475,2023-06-25,1,0.3024249999999999,1.2612636104376598
736523,4475,2023-06-27,4,0.5118529999999999,1.0049655468427288
736523,4475,2023-06-28,1,0.657071,1.1327952681169355
736523,4475,2023-06-29,3,1.1024106666666666,0.9703561655941326
736523,4475,2023-06-30,1,1.138433,1.033076099536299
736523,4475,2023-07-07,4,0.57437875,0.8292468964592004
736523,4475,2023-07-08,1,1.503544,0.988682959930054
736523,4619,2023-07-09,1,0.293604,1.0778400499051826
736523,4809,2023-06-11,1,0.1845379999999999,1.7922035562547614
736523,4809,2023-07-01,1,5.364436,1.4049471999064862
736523,4809,2023-07-07,1,0.023923,1.126671788568136
736523,5549,2023-06-10,1,0.654029,1.5138798799277016
736523,5549,2023-06-11,1,0.629413,1.556098859666561
736523,5549,2023-06-17,1,0.057748,1.7217145094544777
736523,5549,2023-06-28,1,,1.4648663361801388
736523,6004,2023-06-20,1,0.25552,1.5751147688206677
736523,6782,2023-06-08,1,1.284725,1.3466882710450385
736523,6782,2023-06-30,1,0.04761,1.3597692092322713
736523,6782,2023-07-08,2,0.2111535,0.8605165428053363
736523,6824,2023-06-08,1,0.307583,1.631038112742175
736523,6824,2023-06-10,2,0.2784135,1.6131213101890163
736523,6824,2023-06-19,1,0.1944739999999999,1.6094044591516377
736523,6824,2023-06-22,1,3.418717,1.581245250747715
736523,7866,2023-06-15,1,26.37213230625297,1.5767211602012439
736523,10588,2023-06-12,1,0.250517,1.4852590315574279
736523,10588,2023-06-15,1,0.1609,1.5498441229910733
736523,10588,2023-07-08,1,2.133805,1.0553763635368831
736523,10769,2023-06-12,1,0.023467,1.1862321253707706
736523,10960,2023-06-08,1,0.422913,1.604959638618333
736523,10960,2023-06-12,1,0.24061,1.5188130742489652
736523,13699,2023-06-08,6,0.4694526666666666,1.2759963361018405
736523,13699,2023-06-09,3,0.2272236666666666,1.3358253937291844
736523,13699,2023-06-10,3,0.6032233333333334,1.340547449493465
736523,13699,2023-06-11,2,0.372136,1.3883365237135785
736523,13699,2023-06-12,3,2.953766333333333,1.3551087979716976
736523,13699,2023-06-13,2,0.2842159999999999,1.4416688544598943
736523,13699,2023-06-14,1,,1.4749626377482339
736523,13699,2023-06-15,1,0.7981699999999999,1.5083022330553049
736523,13699,2023-06-16,2,0.1161159999999999,1.4670118269836123
736523,13699,2023-06-18,2,2.8578,1.3538578918775372
736523,13699,2023-06-19,1,0.115328,1.51888431058995
736523,13699,2023-06-20,3,0.318408,1.3140813504675384
736523,13699,2023-06-21,3,0.3922039999999999,1.3158978227206495
736523,13699,2023-06-22,2,0.2487405,1.266527527200859
736523,13699,2023-06-23,6,0.2880718333333333,1.2810302049880085
736523,13699,2023-06-24,4,2.320076,1.8350975346695333
736523,13699,2023-06-25,2,0.4388924999999999,1.1717032776631082
736523,13699,2023-06-26,1,0.029012,1.2714099048162382
736523,13699,2023-06-27,3,0.0964746666666666,1.0659175794252636
736523,13699,2023-06-28,2,1.450087,1.0863352233226482
736523,13699,2023-06-29,6,1.4114561666666665,0.9322081997431655
736523,13699,2023-06-30,1,1.47166,1.0573192870873747
736523,13699,2023-07-01,2,0.62989,1.2376397953984017
736523,13699,2023-07-02,1,0.999941,1.1855244967108218
736523,13699,2023-07-03,1,1.111242,1.1466995427407602
736523,13699,2023-07-05,2,0.1187294999999999,0.8766192822222183
736523,13699,2023-07-06,6,0.3093312550026438,0.7009051654133253
736523,13699,2023-07-07,3,0.7320386666666666,0.7519180903708771
736523,13699,2023-07-08,2,0.1040865,0.9047794693049449
736523,13699,2023-07-09,2,0.0449605,0.7356538362327137
736523,13699,2023-07-10,3,0.015724658771162,0.6730245878390819
736523,16151,2023-06-30,1,0.112407,0.794833293916841
736523,23756,2023-06-08,1,4.299425,1.6808063035109233
736523,23756,2023-06-10,1,0.5012829999999999,1.7341445210841293
736523,23756,2023-06-11,2,0.2545774999999999,1.6439378447957953
736523,23756,2023-06-12,3,0.2137893333333333,1.5228721264608385
736523,23756,2023-06-14,2,6.854702147060851,1.6073465500903723
736523,23756,2023-06-17,2,0.165946,1.6194277816509184
736523,23756,2023-06-18,3,1.9802150000000005,1.5247988646033472
736523,23756,2023-06-23,1,0.132869,1.6386958342763802
736523,23756,2023-06-24,2,2.025054,2.1203922595157323
736523,23756,2023-06-25,1,0.2138479999999999,1.4236698538520218
736523,23756,2023-07-03,1,1.977366,1.1863390132236435
736523,23756,2023-07-04,1,4.33605468123179,1.0511330190094428
736523,23756,2023-07-06,1,0.008863,1.0244024754548524
736523,23756,2023-07-08,2,0.5932529155014121,1.049696872059511
736523,23756,2023-07-10,1,0.9737363058852864,0.8588422319747264
736523,33371,2023-06-08,10,0.2353536999999999,1.772561402801315
736523,33371,2023-06-09,20,0.6888190688490617,1.8027269967379556
736523,33371,2023-06-10,8,2.3895828680911655,1.7973153206336185
736523,33371,2023-06-11,10,1.3928080143199164,1.8302758213633643
736523,33371,2023-06-12,22,1.6629970291606435,1.7262346668124875
736523,33371,2023-06-13,20,0.50869425,1.7514979261685213
736523,33371,2023-06-14,18,0.9467655555555554,1.7899128233371495
736523,33371,2023-06-15,14,1.0887955714285713,1.8435445645309048
736523,33371,2023-06-16,16,1.6317113139418855,1.843513554980247
736523,33371,2023-06-17,7,4.67756041389162,1.7546196515252166
736523,33371,2023-06-18,14,4.125399204094234,1.743283013132608
736523,33371,2023-06-19,8,1.0224812017343583,1.7358418275089453
736523,33371,2023-06-20,3,0.2718013333333333,1.664141878882742
736523,33371,2023-06-21,4,2.70933275,1.7487529210036423
736523,33371,2023-06-22,3,1.462139,1.6150878168012555
736523,33371,2023-06-23,7,0.4422418571428571,1.7138334659363104
736523,33371,2023-06-24,3,14.682894333333333,2.2822949842842215
736523,33371,2023-06-25,5,1.2731931957806553,1.4524083973431907
